dbpk,catalogNumber,occurrenceID,basisOfRecord,scientificName,taxonRank,kingdom,phylum,class,recordedBy,eventDate,verbatimEventDate,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,occurrenceRemarks,associatedMedia,dataGeneralizations
iNat-387835954,iNat-387835954,https://www.inaturalist.org/observations/387835954,PreservedSpecimen,Ponometia candefacta,species,Animalia,Arthropoda,Insecta,Matt Fraker,2026-08-02,2026-08-02T21:54:32-05:00,"County Road 375 N, Carlock, IL, US",40.6472866667,-89.1206195,2,,https://static.inaturalist.org/photos/710235214/large.jpg,Harvested from iNaturalist observation 387835954
iNat-387835952,iNat-387835952,https://www.inaturalist.org/observations/387835952,PreservedSpecimen,Pezotettix giornae,species,Animalia,Arthropoda,Insecta,Diego Villar,2026-06-20,2026-06-20T10:16:47+02:00,"Navacerrada, Madrid, España",40.7816375,-4.0186609997,,,,Harvested from iNaturalist observation 387835952
iNat-387835945,iNat-387835945,https://www.inaturalist.org/observations/387835945,PreservedSpecimen,Calliphorinae,subfamily,Animalia,Arthropoda,Insecta,Chris Behany,2026-07-23,2026-07-23T09:57:00-04:00,"Snow Mountain, Keene, NY 12943, USA",44.1683835,-73.7940274,184,,https://static.inaturalist.org/photos/710234868/large.jpg,Harvested from iNaturalist observation 387835945
iNat-387835942,iNat-387835942,https://www.inaturalist.org/observations/387835942,PreservedSpecimen,Catopsilia florella,species,Animalia,Arthropoda,Insecta,Mary Ellen Lindsay,2026-08-03,2026-08-03T12:09:00+02:00,"Ugu District Municipality, South Africa",-30.2747405688,30.7407721377,2,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234421/large.jpg,Harvested from iNaturalist observation 387835942
iNat-387835940,iNat-387835940,https://www.inaturalist.org/observations/387835940,PreservedSpecimen,Anaplectoides pressus,species,Animalia,Arthropoda,Insecta,Alex Day,2026-08-02,2026-08-02T17:32:34-02:30,"Dogberry Hill Rd Ext, Portugal Cove-St. Philip's, NL, CA",47.560825,-52.8782966667,9,,https://inaturalist-open-data.s3.amazonaws.com/photos/710235161/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710235175/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710235177/large.jpg,Harvested from iNaturalist observation 387835940
iNat-387835938,iNat-387835938,https://www.inaturalist.org/observations/387835938,PreservedSpecimen,Dixeia charina,species,Animalia,Arthropoda,Insecta,Mary Ellen Lindsay,2026-08-03,2026-08-03T11:50:00+02:00,"Ugu District Municipality, South Africa",-30.2744728376,30.7410735756,2,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234388/large.jpg,Harvested from iNaturalist observation 387835938
iNat-387835937,iNat-387835937,https://www.inaturalist.org/observations/387835937,PreservedSpecimen,Belenois creona,species,Animalia,Arthropoda,Insecta,Mary Ellen Lindsay,2026-08-03,2026-08-03T12:04:00+02:00,"Ugu District Municipality, South Africa",-30.2748123773,30.7409800089,2,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234418/large.jpg,Harvested from iNaturalist observation 387835937
iNat-387835936,iNat-387835936,https://www.inaturalist.org/observations/387835936,PreservedSpecimen,Eurema brigitta,species,Animalia,Arthropoda,Insecta,Mary Ellen Lindsay,2026-08-03,2026-08-03T11:48:00+02:00,"Ugu District Municipality, South Africa",-30.2745706769,30.7408375413,2,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234400/large.jpg,Harvested from iNaturalist observation 387835936
iNat-387835935,iNat-387835935,https://www.inaturalist.org/observations/387835935,PreservedSpecimen,Bicyclus safitza,species,Animalia,Arthropoda,Insecta,Mary Ellen Lindsay,2026-08-03,2026-08-03T11:45:00+02:00,"Ugu District Municipality, South Africa",-30.274642389,30.7407959671,2,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234398/large.jpg,Harvested from iNaturalist observation 387835935
iNat-387835927,iNat-387835927,https://www.inaturalist.org/observations/387835927,PreservedSpecimen,Camponotus,genus,Animalia,Arthropoda,Insecta,Matt B,2026-07-26,2026-07-26T21:38:33+10:00,"Horn QLD, Australia",-10.5996829152,142.2542394698,6,,https://inaturalist-open-data.s3.amazonaws.com/photos/710235195/large.jpg,Harvested from iNaturalist observation 387835927
